,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 126,,,,,,COTD 127,,,,,,COTD 128,,,,,,COTD 129,,,,,,COTD 130,,,
Map: COTD #126 - Sakura Roots by Noxitu,,,,,,Map: COTD #127 - Arachnophobia by [CRT]Codewalt,,,,,,Map: COTD - Rainbow Glitter Puke Land by Murrl,,,,,,Map: COTD - Choices by [CTR] Sandals,,,,,,Map: COTD - Origin Tech by null/plexus,,,
,,Fastest Time: 43.344 by Kernkob in Round 12,,,,,,Fastest Time: 41.395 by [KURK] Quickracer10 in Round 11,,,,,,Fastest Time: 42.044 by Kernkob in  Round 16,,,,,,Fastest Time: 43.728 by ZOMAN in Round 9,,,,,,Fastest Time: 39.603 by ZOMAN in Round 4,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Kernkob,43.538,,,,1,ZOMAN,41.496,,,,1,Kernkob,42.093,,,,1,ZOMAN,43.743,,,,1,justMaki,40.000,
2,ZOMAN,44.112,16,,,2,[KURK] Quickracer10,41.656,18,,,2,ZOMAN,42.458,18,,,2,[SWMG]JakeAdjacent,44.136,18,,,2,ZOMAN,40.302,16
3,[KURK] Quickracer10,43.984,15,,,3,Kernkob,DNF,17,,,3,Sterben,42.523,17,,,3,[KURK] Quickracer10,44.218,17,,,3,Lexer,40.711,15
4,[CTR]Sandals,44.096,14,,,4,Sterben,DNF,16,,,4,Lexer,43.051,16,,,4,[FPV]PandaMane,44.132,16,,,4,Hydro,DNF,14
5,[CTR]Mμ,DNF,13,,,5,[SWMG]JakeAdjacent,41.761,15,,,5,[CTR] Sandals,44.481,15,,,5,Hydro,DNF,15,,,5,MackCheesy,DNF,13
6,Sterben,44.254,12,,,6,[FPV]PandaMane,41.858,14,,,6,[CSC] BaBa is g00se,43.340,14,,,6,Hi Im Yolo,44.241,14,,,6,[CTR] Sandals,DNF,12
7,Orthros,45.020,11,,,7,RoundNzt,41.864,13,,,7,[FPV]PandaMane,42.886,13,,,7,[CSC] redal,44.362,13,,,7,RoundNzt,40.817,11
8,[CSC]Tommygaming,DNF,11,,,8,Hydro,41.905,13,,,8,MackCheesy,42.950,13,,,8,agix,44.569,13,,,8,[FPV] PandaMane,DNF,11
9,A2 Zecklord,45.753,10,,,9,Lexer,41.932,12,,,9,Zodiak,43.909,12,,,9,ping,44.384,12,,,9,[KURK] Quickracer10,40.591,10
10,M4rv,DNF,10,,,10,[CTR] Sandals,42.037,12,,,10,JobW,43.932,12,,,10,RoundNzt,44.442,12,,,10,[Quac] microways,40.695,10
11,Lexer,45.043,9,,,11,rtube,42.527,11,,,11,[Quac] microways,43.722,11,,,11,Murrl,44.438,11,,,11,[jofk]Tommygaming,40.791,9
12,[CSC]AndMe17,45.213,9,,,12,JobW,DNF,11,,,12,[KURK] Quickracer10,44.275,11,,,12,brrryy,44.531,11,,,12,[CSC] An Actual g00se,DNF,9
13,MALIYO,45.224,8,,,13,[CSC]AndMe17,42.327,10,,,13,[SWMG]JakeAdjacent,43.514,10,,,13,[CSC] DeeDeeNaNaNa,44.647,10,,,13,zivecef,40.951,8
14,[FPV]PandaMane,45.268,8,,,14,ping,DNF,10,,,14,[TILT]Redstony,43.525,10,,,14,[CTR]GuAlexItar,44.688,10,,,14,[SWMG]JakeAdjacent,41.045,8
15,St Nicholas,45.776,8,,,15,[CTR]Mortishade,42.558,9,,,15,Hydro,43.674,10,,,15,Lexer,44.842,10,,,15,[CTR]GuAlexItar,41.322,7
16,JobW,45.927,7,,,16,agix,42.566,9,,,16,[CSC]AndMe17,44.174,10,,,16,[CTR]Mortishade,45.580,10,,,16,Northwind,41.818,7
17,[CSC]Mokster,46.516,7,,,17,[CSC]Tommygaming,42.568,9,,,17,[CTR]Mortishade,43.740,9,,,17,Diabler,44.781,9,,,17,[CTR]Mortishade,DNF,7
18,[CTR]Mortishade,46.551,7,,,18,[CTR]Mμ,DNF,9,,,18,[CTR]Mμ,44.260,9,,,18,[CTR]Lamp,44.837,9,,,,ping,DNF,7
19,gilgool,DNF,7,,,19,MMXD18,42.802,8,,,19,RoundNzt,44.376,9,,,19,[GECK]R0nanC,44.897,9,,,19,St Nicholas,41.518,6
20,[Quac] microways,46.051,6,,,20,Noxitu,43.006,8,,,20,[Burp]Weak_Knees,45.411,9,,,20,[CSC]Tommygaming,DNF,9,,,20,[BAP]SixSixSevenSeven,41.532,6
21,brrryy,46.692,6,,,21,[CSC] Shadynook,DNF,8,,,21,[20x]K410K3N,44.312,8,,,21,icRS,44.825,8,,,21,jofk2415,41.869,6
22,[idk] ping,46.829,6,,,,[heyo]Mr. Hubub,DNF,8,,,22,B_ES,44.419,8,,,22,[mib]vortex,44.890,8,,,22,gilgool,DNF,6
23,graysonvitek88,47.675,6,,,23,zivecef,43.149,7,,,23,[ZET] Wheelie,45.073,8,,,23,[CSC] Shadynook,45.066,8,,,23,[CSC] redal,42.021,5
24,[BAP]SixSixSevenSeven,46.874,5,,,24,[BAP]SixSixSevenSeven,43.170,7,,,24,[CSC] redal,DNF,8,,,24,Mμ,DNF,8,,,24,icRS,42.390,5
25,DeiRex,47.097,5,,,25,[CTR]GuAlexItar,43.324,7,,,25,[mib]vortex,44.975,7,,,25,DeiRex,45.218,7,,,25,Noxitu,42.730,5
26,[TTR]MetalCJ,47.818,5,,,26,aizpun,43.940,7,,,26,ping,44.999,7,,,26,[CSC] CantFindTheg00se,45.363,7,,,26,[GECK]R0nanC,42.797,5
