,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 16,,,,,,COTD 17,,,,,,COTD 18,,,,,,COTD 19,,,,,,COTD 20,,,
Map: COTD- limiting factor by rsgold,,,,,,Map: COTD - Murky Castle by Bottomless & Renergy,,,,,,Map: Cheep Cheep Beach by [TD38] TraNin,,,,,,Map: Pinecrest Plumet - COTD #19 by Akane,,,,,,Map: Embodiment of the Walt - COTD 21 by Codewalt,,,
,,Fastest Time: 40.467 by [CTR] jandje in Round 15,,,,,,Fastest Time: 41.875 by [CTR] jandje in Round 1,,,,,,Fastest Time: 41.790 by ZOMAN in Round 11,,,,,,Fastest Time: 41.468 by ZOMAN in Round 8,,,,,,Fastest Time: 39.285 by justMaki in Round 1,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR] jandje,DNF,,,,1,Erko,42.435,,,,1,ZOMAN,41.917,,,,1,ZOMAN,41.614,,,,1,Kernkob,39.59605,
,justMaki,DNF,15,,,2,justMaki,42.647,15,,,2,[OREO]Pigbuy,42.567,15,,,2,Lexer,41.717,14,,,2,justMaki,39.59621,14
3,JobW,41.073,14,,,3,[CTR] jandje,43.734,14,,,3,RoundNzt,43.182,14,,,3,[CTR] jandje,44.212,13,,,3,St Nicholas,40.385,13
4,ZOMAN,DNF,13,,,4,[OREO]Pigbuy,42.408,13,,,4,Zodiak,42.685,13,,,4,[CTR]Twoface,42.089,12,,,4,Zodiak,40.394,12
5,[CTR] Sandals,41.263,12,,,5,schmxrg,42.570,12,,,5,matt,42.912,12,,,5,Mark,42.592,11,,,5,Linzi,40.086,11
6,PoleLord,41.261,11,,,6,[CTR] Sandals,42.894,11,,,6,[CTR]R0nanC,DNF,11,,,6,schmxrg,41.981,10,,,6,RoundNzt,40.762,10
7,matt,41.223,10,,,7,[CTR]Cbad Cruiser,42.786,10,,,7,[CTR] Sandals,42.887,10,,,7,[CTR]Cbad Cruiser,42.023,10,,,7,[KURK] Quickracer10,40.256,9
8,Lexer,41.577,10,,,8,[KURK] Quickracer10,43.182,10,,,8,A2 Zecklord,42.973,10,,,8,JobW,42.145,9,,,8,[CTR] Sandals,40.351,9
9,Kernkob,41.521,9,,,9,Vigi,42.861,9,,,9,St Nicholas,43.207,9,,,9,[CTR] NathWalt,DNF,9,,,9,Lexer,40.315,8
10,SadD0ge,41.766,9,,,10,A Broken Forklift,43.178,9,,,10,[CTR]TwoFace,DNF,9,,,10,Codewalt,42.631,8,,,10,[ZST] zivecef,40.733,8
11,[OREO] Pigbuy,41.503,8,,,11,Zodiak,43.534,8,,,11,Revenger_19,42.982,8,,,11,[CTR] Sandals,DNF,8,,,11,A2 Zecklord,40.339,7
12,A2 Zecklord,41.704,8,,,12,AndMe14,DNF,8,,,12,[KURK] Quickracer10,43.277,8,,,12,SadD0ge,42.395,7,,,12,Metalted,40.780,7
13,St Nicholas,41.759,7,,,13,A2 Zecklord,DNF,7,,,13,Akane,43.043,7,,,13,A2 Zecklord,42.444,7,,,13,Butter,40.581,6
14,AndMe14,DNF,7,,,,[CTR]TheBamboozler,DNF,7,,,14,DeiRex,43.185,7,,,14,[ZST] zivecef,42.472,6,,,14,JobW,40.632,6
15,I_stay_sideway,41.817,6,,,15,St Nicholas,43.114,6,,,15,GuAlexItar,43.195,6,,,15,A Broken Forklift,42.590,6,,,15,matt,40.731,6
16,[CTR]OwlPlague,41.926,6,,,16,Lazy_Echidna,43.146,6,,,16,AndMe14,43.197,6,,,16,Lazy_Echidna,42.750,6,,,16,[CTR]R0nanC,41.258,6
17,[CTR]R0nanC,42.091,6,,,17,JobW,43.171,6,,,17,Lexer,43.288,6,,,17,[KURK] Quickracer10,42.870,6,,,17,JaBabbit,41.005,5
18,[CTR]L3it3R,DNF,6,,,18,[CTR]TwoFace,43.497,6,,,18,GABRIELALOL,43.833,6,,,18,Jeyjey,42.622,5,,,18,Dunke,41.047,5
19,zivecef,42.394,5,,,19,[BGR] Joking,43.307,5,,,19,[CTR]L3it3R,43.338,5,,,19,JaBabbit,42.763,5,,,19,BABALOO,41.461,5
20,DeiRex,42.441,5,,,20,Zarro,43.334,5,,,20,Lazy_Echidna,43.458,5,,,20,[CTR]L3it3R,43.128,5,,,20,A Broken Forklift,41.489,5
21,Lazy_Echidna,42.877,5,,,21,Tritonas1237,43.470,5,,,21,JP_pne96,43.659,5,,,21,Zodiak,DNF,5,,,21,Hi Im Yolo,41.111,4
22,JaBabbit,43.110,5,,,22,Sterben,43.489,5,,,22,Diabler,DNF,5,,,22,Renergy,43.042,4,,,22,MrMackCheeseBalls,41.345,4
23,Fauix,43.299,4,,,23,[CTR]R0nanC,43.624,4,,,23,Sir Not Nub,43.492,4,,,23,DeiRex,43.101,4,,,23,DeiRex,41.609,4
24,volker0815,44.261,4,,,24,Lexer,43.844,4,,,24,masterofpi11436,43.562,4,,,24,[CTR]R0nanC,43.194,4,,,24,[XTR]Hawk,42.491,4
25,lewis,DNF,4,,,25,snorReplay,43.994,4,,,25,koz,43.566,4,,,25,376,43.895,4,,,25,dencar85,41.300,3
,meone2three4,DNF,4,,,26,Beans,44.562,4,,,26,a_random_tumbleweed,44.071,4,,,26,St Nicholas,43.350,3,,,26,Matic_D,41.430,3
27,Ezral,43.601,3,,,27,Hi Im Yolo,43.667,3,,,27,invisiblecat8,43.735,3,,,27,meone2three4,43.378,3,,,27,[CTR]L3it3R,41.689,3
28,NinjaTurtle010,44.060,3,,,28,Shadynook,43.681,3,,,28,A Broken Forklift,DNF,3,,,28,CCrider,43.653,3,,,28,MikeReddy,42.266,3
29,aaronred345,48.792,3,,,29,DeiRex,43.692,3,,,29,shadeely,DNF,3,,,29,Hi Im Yolo,43.983,3,,,29,[XTR] NATHAN,42.185,2
30,ChopStiR,DNF,3,,,30,RoundNzt,44.353,3,,,30,Marcotik,DNF,3,,,30,GO07,43.870,2,,,30,Lynhardt,42.429,2
31,timeless void,DNF,2,,,31,JaBabbit,44.135,2,,,31,GO07,44.725,2,,,31,RandomDutchman,43.943,2,,,31,buppo,DNF,2
,GavvyBoi,DNF,2,,,32,Arder,44.562,2,,,32,Dark Ace,44.922,2,,,32,Arder,44.223,2,,,,Saturnb,DNF,2
,NatePW,DNF,2,,,33,Sir Not Nub,44.691,2,,,33,Kernkob,DNF,2,,,33,Vae,DNF,2,,,33,Amystique,DNF,1
,gatenby_neil,DNF,2,,,34,Zaza_Lord,DNF,2,,,34,GrahamPlayz8,DNF,2,,,34,gordeiegorov,45.783,1,,,,vortex,DNF,1
35,fer1099,DNF,1,,,35,cookie,45.210,1,,,35,Nusszucker,46.851,1,,,35,kreig,DNF,1,,,,Trash Salad,DNF,1
,Galactichero623,DNF,1,,,36,FArd_gamin,45.339,1,,,36,WhataClown,DNF,1,,,36,[TBR]TheBestMaidens,DNF,1,,,,General,DNF,1
,GuAlexItar,DNF,1,,,37,sharkoftheday,45.994,1,,,37,Amystique,DNF,1,,,,,,,,,,,,
,[OR] TNTArrow,DNF,1,,,,,,,,,,,,,,,,,,,,,,,,
,cookie,DNF,1,,,,,,,,,,,,,,,,,,,,,,,,
,OwlsAreVeryCool,DNF,1,,,,,,,,,,,,,,,,,,,,,,,,
